Country,Product,2022 (USD Billion),2023 (USD Billion),2024 (USD Billion)
Brazil,Machinery,14.69,15.88,16.03
UK,Tea,78.22,82.07,82.8
South Africa,Spices,10.06,9.82,10.38
Germany,Rice,13.07,14.06,14.76
China,Organic Chemicals,13.04,12.92,14.19
Netherlands,Tea,37.08,40.28,42.86
Russia,Textiles & Garments,62.43,67.88,68.57
South Korea,Steel,45.45,49.71,48.17
Germany,Spices,94.51,101.05,105.92
South Africa,Automobiles,46.33,49.14,46.72
Canada,Electronic Goods,84.43,91.93,100.29
Russia,Spices,32.63,33.32,34.59
Germany,Leather Goods,82.69,81.82,82.65
Russia,Organic Chemicals,79.42,79.19,86.31
Russia,Spices,3.66,3.78,3.85
China,IT Services,12.24,12.35,12.04
UK,Petroleum Products,98.32,103.99,99.94
Russia,Textiles & Garments,56.03,55.93,56.07
Italy,Spices,55.3,59.41,61.45
China,Rice,80.67,76.8,75.24
Australia,Steel,92.71,93.68,99.5
China,Machinery,16.07,16.76,18.15
Italy,Automobiles,99.42,99.19,96.22
China,Machinery,74.31,79.85,86.2
China,Machinery,51.91,56.46,56.53
UAE,Gems & Jewellery,65.89,71.9,74.53
USA,Steel,75.32,72.78,71.94
France,Textiles & Garments,82.09,89.21,96.93
Netherlands,Textiles & Garments,39.0,42.82,44.26
Germany,Electronic Goods,33.27,34.22,32.61
Australia,Textiles & Garments,52.9,53.66,54.3
Australia,Automobiles,15.92,15.19,15.86
Russia,Steel,25.51,25.17,25.97
Netherlands,Petroleum Products,27.06,28.79,29.87
South Africa,Automobiles,72.34,69.65,68.35
Australia,Organic Chemicals,55.77,59.14,64.15
South Africa,Steel,3.28,3.51,3.56
Brazil,Automobiles,39.4,39.55,43.28
Germany,Leather Goods,92.52,101.61,104.44
South Africa,Gems & Jewellery,3.94,3.79,3.7
Brazil,Gems & Jewellery,60.12,65.29,67.12
Netherlands,Gems & Jewellery,86.08,91.05,91.89
South Korea,Organic Chemicals,18.75,19.17,20.96
Japan,IT Services,64.09,65.34,66.8
Japan,Tea,64.74,61.51,59.52
Germany,Steel,39.46,42.75,46.09
UK,Rice,27.32,26.62,27.79
Australia,Leather Goods,95.94,99.31,104.17
Russia,Steel,66.04,64.19,70.28
France,Automobiles,78.82,79.53,84.29
Canada,Spices,27.61,27.07,28.62
South Korea,Steel,92.11,92.24,92.77
Germany,Textiles & Garments,3.05,3.2,3.22
South Africa,IT Services,16.08,16.81,16.15
UAE,Machinery,3.83,3.82,3.85
UAE,Pharmaceuticals,97.39,96.0,96.58
USA,Petroleum Products,68.7,74.49,77.52
UK,Tea,8.15,8.67,9.22
South Africa,Automobiles,50.09,53.13,52.98
USA,Pharmaceuticals,19.23,19.82,20.47
Canada,IT Services,90.29,94.33,93.15
Russia,Rice,56.11,60.71,60.27
South Africa,Petroleum Products,1.05,1.1,1.09
USA,Leather Goods,12.39,13.27,14.29
France,Machinery,51.04,55.24,58.71
Germany,Organic Chemicals,32.54,33.34,34.13
Russia,Automobiles,29.69,31.61,33.65
China,Tea,11.44,11.46,12.38
Australia,Pharmaceuticals,74.13,80.88,82.6
Australia,IT Services,68.48,70.43,73.78
Russia,Automobiles,81.02,80.68,76.77
South Korea,Spices,49.95,48.71,50.25
Russia,Gems & Jewellery,62.82,59.71,59.39
USA,Spices,32.19,34.51,36.63
Russia,Organic Chemicals,30.39,30.0,28.54
USA,IT Services,27.8,30.48,33.09
Australia,Steel,28.22,27.71,29.78
Japan,Pharmaceuticals,96.42,102.87,99.18
UK,Engineering Goods,2.68,2.89,3.06
Italy,Leather Goods,97.69,93.09,98.23
Italy,Pharmaceuticals,16.24,17.78,17.97
France,Steel,77.64,81.51,87.15
Canada,Textiles & Garments,77.54,82.39,88.82
Brazil,Leather Goods,41.42,43.65,44.12
South Korea,Electronic Goods,35.55,35.76,37.09
France,Textiles & Garments,36.32,38.57,37.84
UAE,Petroleum Products,8.24,8.43,8.17
Germany,Pharmaceuticals,66.63,69.8,67.84
Italy,Gems & Jewellery,10.45,10.31,10.1
UAE,Pharmaceuticals,22.82,22.92,23.76
USA,Steel,66.01,67.4,74.03
Australia,Pharmaceuticals,58.07,58.4,61.03
Canada,Machinery,79.49,77.31,79.97
Germany,Leather Goods,30.0,32.28,32.7
Brazil,Engineering Goods,39.42,37.63,40.48
USA,Machinery,10.46,10.88,11.73
China,Gems & Jewellery,6.5,6.89,7.32
Brazil,Spices,65.44,69.27,71.94
France,Pharmaceuticals,3.67,4.03,3.94
South Africa,Electronic Goods,54.01,52.6,55.15
Australia,Leather Goods,6.56,6.92,7.61
France,Pharmaceuticals,57.15,59.57,59.45
Brazil,Automobiles,92.52,95.93,95.31
China,Petroleum Products,7.98,7.77,7.93
Canada,Automobiles,98.62,103.95,111.56
China,Gems & Jewellery,75.32,74.62,77.75
Brazil,Petroleum Products,22.11,23.13,24.2
Australia,Automobiles,92.56,91.45,94.64
UK,Rice,69.34,70.62,67.77
Australia,Tea,59.0,61.88,63.23
South Africa,Automobiles,21.11,20.5,19.98
Italy,IT Services,7.58,8.1,7.86
UAE,Rice,55.04,55.97,54.96
UK,Textiles & Garments,50.15,54.63,53.83
France,Machinery,68.15,72.87,76.68
South Africa,IT Services,16.59,16.52,17.38
Brazil,Machinery,22.93,23.64,24.77
Netherlands,Spices,23.33,25.41,26.19
Japan,Textiles & Garments,33.0,35.14,34.01
Russia,Textiles & Garments,98.29,102.53,104.78
Canada,IT Services,98.47,101.18,101.69
Australia,Tea,4.08,4.39,4.7
UK,Steel,72.94,71.46,70.71
Canada,Machinery,48.17,48.44,53.1
Italy,Automobiles,79.04,75.69,82.26
Brazil,Petroleum Products,76.43,83.07,83.82
South Korea,Pharmaceuticals,91.65,99.1,103.29
USA,Petroleum Products,25.88,27.26,25.94
UAE,Engineering Goods,29.78,32.74,32.84
South Africa,Electronic Goods,26.17,25.8,26.89
France,Pharmaceuticals,40.28,41.65,41.18
Brazil,IT Services,41.41,40.47,40.88
Brazil,Gems & Jewellery,6.47,6.47,6.5
Australia,Tea,95.59,92.42,100.62
Japan,Organic Chemicals,40.75,40.53,40.12
Australia,Rice,26.06,28.37,30.23
UAE,Spices,79.97,83.56,82.14
UAE,Engineering Goods,79.62,77.38,77.34
Netherlands,Engineering Goods,97.34,104.57,111.77
